Annotation Name,Area (µm^2),Cell Count,Transcript Count
J1-CA-2_CA-1,47297.67,424,0
J1-CA-2_CA-2,37938.05,320,0
J1-CA-2_CA-3,46305.91,571,0
J1-CA-2_CA-4,34204.88,259,0
L1-TA-4_HGD-1,225146.10,1380,0
L1-TA-4_HGD-2,66107.21,667,0
Q1-TA-4_HGD-1,642928.33,6353,0
L1-TA-1_LGD-1,414872.00,4601,0
M1-TA-1_LGD-1,582730.84,6208,0

Annotation Name,Cell ID,Cluster ID,Total Transcripts,Cell Area
J1-CA-2_CA-1,dkhpfjmm-1,Cluster 12,0,128.97
J1-CA-2_CA-1,mahljgmm-1,Cluster 1,0,16.03
J1-CA-2_CA-1,mahoclcg-1,Cluster 9,0,23.84
J1-CA-2_CA-1,mailaaeo-1,Cluster 6,0,43.98
J1-CA-2_CA-1,maikoocl-1,Cluster 24,0,52.07
J1-CA-2_CA-1,mahmimfe-1,Cluster 6,0,24.25
J1-CA-2_CA-1,maijidbi-1,Cluster 3,0,34.27
J1-CA-2_CA-1,maikpmai-1,Cluster 3,0,33.91
J1-CA-2_CA-1,maiijico-1,Cluster 3,0,44.39
J1-CA-2_CA-1,maijcdak-1,Cluster 6,0,92.93
J1-CA-2_CA-1,maiknibg-1,Cluster 3,0,27.59
J1-CA-2_CA-1,maijcjen-1,Cluster 3,0,44.70
J1-CA-2_CA-1,mahmfhfa-1,Cluster 14,0,21.09
J1-CA-2_CA-1,maijejgl-1,Cluster 3,0,36.35
J1-CA-2_CA-1,mahoapaf-1,Cluster 3,0,39.96
J1-CA-2_CA-1,dkhpamhl-1,Cluster 24,0,58.75
J1-CA-2_CA-1,maikgbph-1,Cluster 9,0,36.89
J1-CA-2_CA-1,mahmljik-1,Cluster 3,0,54.19
J1-CA-2_CA-1,dkhpiljh-1,Cluster 9,0,43.44
J1-CA-2_CA-1,mahmnaob-1,Cluster 14,0,27.64
J1-CA-2_CA-1,maikpmnm-1,Cluster 3,0,35.85
J1-CA-2_CA-1,maihlgmm-1,Cluster 3,0,66.70
J1-CA-2_CA-1,mahpldbc-1,Cluster 3,0,39.02
J1-CA-2_CA-1,mahpfnim-1,Cluster 9,0,17.61
J1-CA-2_CA-1,mahocpfo-1,Cluster 3,0,37.93
J1-CA-2_CA-1,maikdndl-1,Cluster 6,0,42.45
J1-CA-2_CA-1,mahpilgb-1,Cluster 3,0,42.67
J1-CA-2_CA-1,maikapdk-1,Cluster 3,0,38.43
J1-CA-2_CA-1,mahjmeab-1,Cluster 3,0,218.06
J1-CA-2_CA-1,dkhogbbm-1,Cluster 12,0,140.71
J1-CA-2_CA-1,maihcmkd-1,Cluster 12,0,112.39
J1-CA-2_CA-1,maihbfko-1,Cluster 12,0,72.39
J1-CA-2_CA-1,dkhjncnf-1,Cluster 12,0,44.03
J1-CA-2_CA-1,dkhjmihj-1,Cluster 12,0,44.34
J1-CA-2_CA-1,dkhjlcjd-1,Cluster 12,0,58.30
J1-CA-2_CA-1,dkhjikfa-1,Cluster 12,0,84.13
J1-CA-2_CA-1,dkhjieoh-1,Cluster 12,0,97.40
J1-CA-2_CA-1,dkigidnd-1,Cluster 12,0,35.49
J1-CA-2_CA-1,dkighjfg-1,Cluster 12,0,60.51
J1-CA-2_CA-1,dkigkekg-1,Cluster 2,0,21.18
