Annotation Name,Area (µm^2),Cell Count,Transcript Count
Y2-TA-2_LGD-1,33992.65,429,0
Y2-TA-2_LGD-2,67313.05,573,0
T1-TA-1_LGD-1,240297.07,2028,0
Y1-TA-1_LGD-1,626162.13,6642,0
Y1-TA-2_LGD-1,24029.42,363,0
Y1-TA-2_LGD-2,12726.25,183,0
Y1-TA-2_LGD-3,16006.05,180,0
Y1-TA-2_LGD-4,10246.09,93,0
R1-CA-2_LGD-1,788938.79,6022,0

Annotation Name,Cell ID,Cluster ID,Total Transcripts,Cell Area
Y2-TA-2_LGD-1,jfknaiei-1,Cluster 3,0,43.26
Y2-TA-2_LGD-1,jfkjlppl-1,Cluster 8,0,61.73
Y2-TA-2_LGD-1,jfkjjfhd-1,Cluster 3,0,21.09
Y2-TA-2_LGD-1,jfjolohg-1,Cluster 4,0,66.88
Y2-TA-2_LGD-1,jfjpcfjf-1,Cluster 17,0,48.18
Y2-TA-2_LGD-1,jfjpmohg-1,Cluster 17,0,47.59
Y2-TA-2_LGD-1,jfkainnf-1,Cluster 4,0,66.20
Y2-TA-2_LGD-1,jfjpjpcf-1,Cluster 3,0,24.88
Y2-TA-2_LGD-1,jflhhknm-1,Cluster 12,0,51.93
Y2-TA-2_LGD-1,jfjpkmee-1,Cluster 5,0,118.04
Y2-TA-2_LGD-1,jfjpaafp-1,Cluster 4,0,83.40
Y2-TA-2_LGD-1,jfjpcgnh-1,Cluster 2,0,15.22
Y2-TA-2_LGD-1,jfjpmapm-1,Cluster 16,0,95.42
Y2-TA-2_LGD-1,jfjpmmhh-1,Cluster 16,0,84.44
Y2-TA-2_LGD-1,jfjpmlfj-1,Cluster 17,0,23.57
Y2-TA-2_LGD-1,jfjpgnba-1,Cluster 17,0,84.04
Y2-TA-2_LGD-1,jfkaioab-1,Cluster 5,0,16.62
Y2-TA-2_LGD-1,jfkoddno-1,Cluster 3,0,9.53
Y2-TA-2_LGD-1,jfjpnhcn-1,Cluster 12,0,41.50
Y2-TA-2_LGD-1,ahlhipdf-1,Cluster 3,0,41.77
Y2-TA-2_LGD-1,oehegbff-1,Cluster 5,0,15.49
Y2-TA-2_LGD-1,jflnonce-1,Cluster 3,0,46.74
Y2-TA-2_LGD-1,jflkgmfc-1,Cluster 17,0,70.17
Y2-TA-2_LGD-1,jflmlikk-1,Cluster 6,0,98.44
Y2-TA-2_LGD-1,ahlanndl-1,Cluster 17,0,48.99
Y2-TA-2_LGD-1,jflmmedh-1,Cluster 14,0,59.65
Y2-TA-2_LGD-1,jflmlmjj-1,Cluster 3,0,60.24
Y2-TA-2_LGD-1,jflmohfa-1,Cluster 18,0,38.70
Y2-TA-2_LGD-1,jflmmako-1,Cluster 3,0,22.04
Y2-TA-2_LGD-1,jflkikdc-1,Cluster 14,0,191.96
Y2-TA-2_LGD-1,jfmdlmho-1,Cluster 2,0,75.46
Y2-TA-2_LGD-1,ahlakdmf-1,Cluster 18,0,53.96
Y2-TA-2_LGD-1,jflnockj-1,Cluster 3,0,30.80
Y2-TA-2_LGD-1,jflnjphc-1,Cluster 3,0,77.76
Y2-TA-2_LGD-1,jfllfhcm-1,Cluster 3,0,58.75
Y2-TA-2_LGD-1,ahlheeoe-1,Cluster 17,0,65.39
Y2-TA-2_LGD-1,ahlamhah-1,Cluster 21,0,79.48
Y2-TA-2_LGD-1,jflobjhk-1,Cluster 17,0,44.84
Y2-TA-2_LGD-1,ahlahpkf-1,Cluster 2,0,54.32
Y2-TA-2_LGD-1,jflmilpp-1,Cluster 3,0,36.98
Y2-TA-2_LGD-1,jfjopgmm-1,Cluster 3,0,49.22
