gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
TSPAN9,4.293890852209953e-37,0.2515526263606951,0.302,0.138,7.7655016062217e-33
ARL13B,4.35955218038001e-37,0.3043211038677609,0.229,0.09,7.884250118217249e-33
VAMP2,4.447456082688172e-37,0.2447915633223542,0.687,0.425,8.043224325541559e-33
TMEM135,4.447976910927682e-37,0.2538616910207252,0.388,0.197,8.044166243412714e-33
SIMC1,4.585186418191855e-37,0.2058576902069298,0.628,0.367,8.29230963729997e-33
PHACTR4,4.740289347260287e-37,0.25588218325311585,0.694,0.43,8.57281328452023e-33
FBP1,4.790273147215902e-37,0.2699428369773899,0.898,0.66,8.663208986739959e-33
DMRTA2,4.93351780174134e-37,0.346203978861348,0.171,0.055,8.922266944449214e-33
CEP41,5.075261684673414e-37,0.3551009277238588,0.256,0.109,9.178610756731869e-33
ATXN10,5.178371325934355e-37,0.2018521903430721,0.699,0.428,9.365084542952281e-33
RPAP1,5.290191684896802e-37,0.20284474045986078,0.619,0.365,9.567311662135867e-33
SMU1,5.46493521894805e-37,0.2420885763636642,0.415,0.217,9.883335343467549e-33
DDX1,5.580877042682619e-37,0.2817762429404247,0.783,0.525,1.0093016131691516e-32
ZNF16,5.911521049091148e-37,0.24997040477213783,0.377,0.187,1.0690985817281342e-32
MED1,5.961385495072027e-37,0.2734144593750075,0.722,0.459,1.0781165667837762e-32
SCARB1,6.057444878019001e-37,0.20633458876183108,0.562,0.32,1.0954889061897364e-32
DDX41,6.086254603921175e-37,0.21912497271303555,0.47,0.252,1.1006991451191445e-32
RAD54L,6.187196734400056e-37,0.28442291161981936,0.357,0.176,1.1189545294162502e-32
NAALADL2,6.213185765473662e-37,0.24785653609470554,0.868,0.589,1.1236546456859117e-32
DDB1,6.267445285712168e-37,0.26902362168358707,0.868,0.62,1.1334674799210456e-32
TIMM50,6.304940693424595e-37,0.2348582352524914,0.752,0.486,1.140248524405838e-32
TMEM109,6.538626232555249e-37,0.21645462859901377,0.647,0.39,1.1825105541576167e-32
SEM1,6.623281711487684e-37,0.2175385485527691,0.917,0.697,1.1978204975225477e-32
SNUPN,7.114048719926281e-37,0.2123327015062908,0.614,0.357,1.2865757109986678e-32
RBM23,7.1983315462402e-37,0.24549090492126352,0.752,0.486,1.3018182601375403e-32
PEX14,7.250206110164947e-37,0.3302237076182899,0.241,0.1,1.3111997750233306e-32
CUL1,7.290123703370004e-37,0.2708949612560308,0.768,0.502,1.3184188717544653e-32
HAAO,7.4094448530741244e-37,0.22813314464277368,0.62,0.385,1.3399981016784555e-32
SLC35B3,7.5094612997836145e-37,0.21659023593057103,0.674,0.413,1.3580860760658666e-32
SPG21,7.810752138361489e-37,0.28481903242660234,0.88,0.642,1.4125745242226753e-32
ZNF714,8.233884769630722e-37,0.230396685531713,0.347,0.17,1.489098060587716e-32
SP2,8.236957513109998e-37,0.2288636591485167,0.446,0.236,1.489653766245943e-32
SF3B2,8.261986053509456e-37,0.2874614106222855,0.738,0.481,1.494180177777185e-32
C2CD3,8.422634799940917e-37,0.20039823491330644,0.488,0.265,1.5232335035693147e-32
NUCB2,8.470464622064032e-37,0.27209545573591987,0.548,0.317,1.5318835269002804e-32
GTPBP10,8.571640787383002e-37,0.31512272801590985,0.839,0.568,1.550181236398216e-32
MYO5C,8.609446176284755e-37,0.2152025113790388,0.804,0.536,1.557018340981098e-32
LCMT2,8.642827102943765e-37,0.2384204979037916,0.307,0.142,1.56305528156738e-32
PUF60,8.874024055520108e-37,0.28423077683235876,0.83,0.57,1.6048672504408116e-32
PCDHGB6,8.93041250186697e-37,0.4244357711001827,0.196,0.071,1.6150651009626416e-32
CCDC117,9.308494465457358e-37,0.255079721975612,0.313,0.146,1.6834412240779633e-32
CCDC122,9.818647329673653e-37,0.3081164625235111,0.334,0.161,1.7757023695714802e-32
MGAM2,1.0460793197316314e-36,0.2056964726749455,0.364,0.181,1.8918344497346552e-32
OTUB2,1.0551833508081859e-36,0.4991339231836176,0.182,0.063,1.908299089936604e-32
USP5,1.0893160854816291e-36,0.22284268837494303,0.661,0.395,1.9700281405935262e-32
SF3B1,1.1012558335179418e-36,0.2809320540041785,0.856,0.604,1.9916211749171978e-32
DCTD,1.1358004471511878e-36,0.26861412926665335,0.853,0.606,2.054095108672923e-32
GINS4,1.1993908872962987e-36,0.30378723163334165,0.324,0.154,2.169098419675356e-32
AC093323.1,1.201969771552369e-36,0.2830146062328447,0.483,0.267,2.1737623318524593e-32
SIDT1,1.2509126510821619e-36,0.25020598959466744,0.603,0.358,2.2622755294820898e-32
ZADH2,1.3852891288476914e-36,0.2777296261146094,0.791,0.52,2.50529538952105e-32
ADAM22,1.385333948812196e-36,0.35579383451492363,0.244,0.101,2.505376446426856e-32
UPF3B,1.3903569257139006e-36,0.28577000936149544,0.397,0.203,2.5144605001535894e-32
PI4K2B,1.4422227946989443e-36,0.2875255042360222,0.701,0.439,2.608259924213041e-32
ME3,1.5317982079452915e-36,0.2681248482088584,0.888,0.64,2.7702570590690596e-32
NOP9,1.5757216262920298e-36,0.20746519872089242,0.61,0.357,2.8496925611491357e-32
CHCHD3,1.6126587002967677e-36,0.32274839048337944,0.616,0.374,2.916493259486704e-32
RAD23B,1.6383147476124562e-36,0.3130717813492172,0.66,0.412,2.962892221057127e-32
CHCHD5,1.707996083873733e-36,0.24722921958052568,0.729,0.479,3.088910917685646e-32
ARFIP1,1.7721792845070432e-36,0.28388018481322974,0.857,0.596,3.2049862360309876e-32
TUBG2,1.8092803351864427e-36,0.22815372839006187,0.333,0.159,3.2720834861846815e-32
HPF1,1.8419610565823185e-36,0.5261478550274981,0.212,0.081,3.331186570829123e-32
ZNF630,1.8822418887965868e-36,0.3433914982531676,0.314,0.15,3.4040344558886276e-32
PPP2R2A,1.908901455233017e-36,0.27141903387033467,0.741,0.478,3.452248281788911e-32
TAF6L,1.924860867279511e-36,0.3185174677681424,0.339,0.164,3.4811108784749957e-32
GLMP,2.086550925189826e-36,0.2026386407056513,0.503,0.278,3.7735273482058005e-32
CDC123,2.1547135776611754e-36,0.2263377953279625,0.87,0.6,3.8967995052002357e-32
TGFB3,2.2499162752477113e-36,0.69340863064257,0.152,0.046,4.068973583785486e-32
CETN3,2.31283124430805e-36,0.2627289943153519,0.395,0.203,4.1827553053311086e-32
ZRSR2,2.3169864930926583e-36,0.32051403633610853,0.285,0.128,4.1902700727580726e-32
COQ6,2.3316083759092127e-36,0.20069347234965784,0.298,0.135,4.216713747831811e-32
TMEM184C,2.3341533459413954e-36,0.2093131800240684,0.397,0.202,4.221316326135014e-32
MYCN,2.3627395239468583e-36,0.3159872127330643,0.227,0.091,4.273014429057893e-32
EIF4G1,2.3755907907090422e-36,0.2888284858009118,0.792,0.547,4.296255944997303e-32
RNF14,2.410647010849095e-36,0.26781147483246714,0.504,0.278,4.3596551191205886e-32
EI24,2.4248707468214974e-36,0.3154699359200312,0.824,0.599,4.385378745626678e-32
CDC45,2.4352282573177046e-36,0.28466499512727195,0.476,0.263,4.4041103033590687e-32
NUDC,2.4525342804089576e-36,0.2369671012333875,0.923,0.721,4.4354082461196e-32
TMEM106B,2.5972035821301543e-36,0.2696485836763306,0.876,0.637,4.697042678282384e-32
GTF2E2,2.623525081593897e-36,0.2481560783330765,0.651,0.396,4.744645110062562e-32
BORA,2.7651226618472434e-36,0.2434409488708993,0.548,0.319,5.000724333950739e-32
LIN54,2.8142453663281133e-36,0.21836572166595225,0.359,0.178,5.089562745004393e-32
CEP152,2.8554577442493618e-36,0.23763636938959132,0.426,0.223,5.164095330474971e-32
ITGA1,2.973641072203595e-36,0.2574225601684409,0.624,0.377,5.377829879080202e-32
ATG2B,3.0218082208706084e-36,0.20659637225879668,0.714,0.439,5.464940167444495e-32
ZNF639,3.080367594634403e-36,0.24812750124978034,0.493,0.274,5.570844794896318e-32
BANK1,3.104973320626189e-36,0.3693883702113743,0.179,0.061,5.615344250352463e-32
COMMD10,3.171536040547597e-36,0.23946222944299,0.396,0.203,5.73572292933033e-32
ZNF367,3.2192828302176064e-36,0.3160075588276703,0.331,0.161,5.822072998448541e-32
TRAPPC13,3.263891090416585e-36,0.2113712005917423,0.605,0.355,5.902747037018394e-32
MLLT1,3.2747656340007225e-36,0.22263153462418356,0.814,0.54,5.922413649090307e-32
AGTPBP1,3.45944320601315e-36,0.20539100845718927,0.663,0.397,6.256403038074782e-32
LIPA,3.464924268304848e-36,0.28856481663709743,0.609,0.368,6.266315539229318e-32
RNLS,3.486873875378974e-36,0.21585542011019765,0.386,0.195,6.306011403622875e-32
TTBK2,3.537532853067748e-36,0.24313647620307322,0.294,0.133,6.397628164773023e-32
MED30,3.555405924962051e-36,0.2008899538544422,0.446,0.238,6.42995161529387e-32
LUC7L2,3.574573333836715e-36,0.2640143756939226,0.984,0.852,6.464615874243699e-32
MAPKAPK3,3.6027013797119844e-36,0.251947910443468,0.719,0.45,6.515485445209124e-32
USP1,3.6696886880091786e-36,0.2678581677295951,0.831,0.573,6.6366319922646e-32
SLC16A13,3.7053474802268005e-36,0.22202921933696906,0.252,0.107,6.701120917990169e-32
TCEAL8,3.873474012108111e-36,0.2256635543750789,0.836,0.553,7.005177750897519e-32
NOL8,4.094153572455581e-36,0.21334276030772292,0.697,0.435,7.404276735785918e-32
LRRC8D,4.387063075838343e-36,0.21690441957507,0.549,0.314,7.934003572653643e-32
PLSCR2,4.4340407624624915e-36,0.28577387735312776,0.19,0.068,8.018962718913415e-32
DNAJC7,4.4839134211431356e-36,0.28449276826110337,0.817,0.566,8.109157422137361e-32
ERBB3,4.5482578264229656e-36,0.2748784734739719,0.919,0.722,8.225524279085933e-32
PKN3,4.555341692150751e-36,0.21977438809205352,0.401,0.208,8.238335450254633e-32
ATF4,4.836617590348205e-36,0.26109076509315005,0.841,0.593,8.747022912144728e-32
DAG1,4.837679010111865e-36,0.24570452058693223,0.844,0.601,8.748942489787307e-32
SMCR8,4.8457864743504165e-36,0.21631131418795735,0.577,0.334,8.763604838862728e-32
DNMT3B,4.9200337141408305e-36,0.5640868059773769,0.161,0.051,8.897880972023692e-32
FAM122C,4.9674911267143705e-36,0.22076036597960735,0.374,0.186,8.983707702662939e-32
TCFL5,5.071336978694848e-36,0.2223591973795056,0.381,0.192,9.171512925969633e-32
PAK2,5.101513404539904e-36,0.2046732346498601,0.578,0.34,9.226086992110416e-32
TSN,5.41593824983949e-36,0.23272808505713094,0.876,0.623,9.794724324834718e-32
ABLIM2,5.5199290202597646e-36,0.22428108664949264,0.462,0.255,9.982791633139785e-32
PHC3,5.6141376770922455e-36,0.24514250634492354,0.792,0.515,1.0153167989021325e-31
MPLKIP,5.823445647815695e-36,0.2235187051936598,0.749,0.475,1.0531701454074685e-31
SFT2D2,5.962350310026521e-36,0.2439661953475487,0.528,0.297,1.0782910535682962e-31
UBE2G1,6.361978628893524e-36,0.24728180154261503,0.605,0.357,1.1505638350353937e-31
ELMO2,6.385137792875495e-36,0.23901298138847338,0.483,0.265,1.1547521698415333e-31
ZNF106,6.393194668026543e-36,0.2166520171127433,0.709,0.44,1.1562092557126002e-31
SPAG5,6.484888733811592e-36,0.3038642176258497,0.628,0.397,1.1727921275098263e-31
PDE4B,6.536640053587459e-36,0.2925000341000894,0.258,0.111,1.1821513536912919e-31
SMAD7,6.58586726820127e-36,0.2851274942223283,0.883,0.67,1.1910540954541997e-31
PNO1,6.591548532093338e-36,0.25242575644006626,0.349,0.173,1.1920815520290802e-31
SDSL,6.961085947328128e-36,0.23393628969280345,0.488,0.273,1.258912393574292e-31
KSR2,7.525578072521807e-36,0.3237444127336029,0.24,0.1,1.3610007944155688e-31
TM9SF4,7.567830659171462e-36,0.2864607163204486,0.739,0.492,1.3686421747111589e-31
ODR4,7.655236585492223e-36,0.2384793786396564,0.66,0.4,1.3844495364862686e-31
MICALL1,7.831595129339446e-36,0.3731900319021211,0.245,0.103,1.4163439791410387e-31
ZNF276,8.026590744370885e-36,0.20366669985789354,0.727,0.454,1.4516089361194745e-31
RAB23,8.063715228888816e-36,0.2639641582338248,0.506,0.293,1.4583228991445424e-31
TTPA,8.094627495522577e-36,0.24969547990425855,0.571,0.332,1.463913382565258e-31
GOLT1B,8.122119357511327e-36,0.224554358466434,0.462,0.251,1.4688852858059235e-31
ARFGAP2,8.296123333021576e-36,0.23259259771884877,0.78,0.51,1.500353904776952e-31
ARMT1,8.315228246584325e-36,0.25096750256008526,0.344,0.167,1.503809028394775e-31
SNX16,8.321321328113484e-36,0.23318454980968584,0.477,0.261,1.5049109621893236e-31
CAT,8.379177121237766e-36,0.2477955787918673,0.969,0.813,1.51537418237585e-31
BTF3,8.483895509120194e-36,0.4897470332340368,0.239,0.1,1.534312502824387e-31
METTL27,8.621554787342861e-36,0.22352136105946352,0.471,0.26,1.5592081832909565e-31
ST5,9.187911917603854e-36,0.2201974132401302,0.898,0.652,1.661633870298657e-31
NUP214,9.598180027529402e-36,0.22349754934509214,0.555,0.319,1.7358308579786923e-31
SLC25A32,9.622170355471478e-36,0.2814067437054186,0.53,0.3,1.740169508787017e-31
PIGC,1.0149927349199905e-35,0.2040355903111326,0.48,0.263,1.8356143611028028e-31
ZC3H13,1.059575707962011e-35,0.2742663772085494,0.653,0.399,1.9162426678492968e-31
AGT,1.0798134112892601e-35,0.210920889045638,0.371,0.187,1.9528425543166268e-31
ENPP5,1.0845618344540786e-35,0.4776718484523368,0.18,0.063,1.9614300776102013e-31
TRIM8,1.0986653996444446e-35,0.2711562046554323,0.919,0.688,1.986936375256978e-31
CSNK1A1,1.1624244042759961e-35,0.2936809848712062,0.737,0.479,2.102244535133139e-31
SHROOM2,1.2006968986688654e-35,0.35700384537513585,0.233,0.097,2.171460341242643e-31
OTULINL,1.2177541344426863e-35,0.2932632063530125,0.637,0.397,2.2023083521395983e-31
PLD6,1.2627273769773413e-35,0.26302405805851015,0.25,0.106,2.2836424612635216e-31
FBXO45,1.2721186097306953e-35,0.23278681541072022,0.381,0.195,2.3006265056979625e-31
MICAL3,1.2779878628875794e-35,0.28705695727122554,0.797,0.546,2.3112410500321873e-31
RNPC3,1.3331053119498394e-35,0.24401855166686812,0.845,0.59,2.4109209566612845e-31
CNOT10,1.3592459172361016e-35,0.23369640051983764,0.71,0.443,2.45819624132149e-31
METTL18,1.4624465331933205e-35,0.2997568474543355,0.267,0.119,2.64483455528012e-31
CCDC59,1.5384352585155289e-35,0.273097049344035,0.4,0.207,2.782260165025334e-31
EIF2B4,1.557868048689736e-35,0.21822842813979304,0.471,0.257,2.8174043660553875e-31
PIK3C2A,1.5745147054303635e-35,0.2564955451600841,0.788,0.513,2.8475098447708125e-31
SHKBP1,1.643197964436986e-35,0.2565076445799104,0.666,0.409,2.971723518684289e-31
PRKD3,1.703965940564148e-35,0.22861007309214065,0.697,0.423,3.0816224035102614e-31
ALPK1,1.7524742952245222e-35,0.20981695444734305,0.625,0.368,3.1693497629135485e-31
DHRS3,1.7640872671738435e-35,0.24349410944591762,0.774,0.509,3.190351822683896e-31
SUFU,1.8472793321481244e-35,0.2252223367765569,0.335,0.163,3.340804672189883e-31
PSMB1,1.8716737584497751e-35,0.2851765552112555,0.955,0.795,3.3849219921564184e-31
AMIGO1,1.8900329274857412e-35,0.2982864002494656,0.187,0.067,3.4181245493579628e-31
FXR2,1.937674307887439e-35,0.2300463580426877,0.536,0.305,3.504283985814433e-31
RTF1,2.015219070889098e-35,0.25953439548439833,0.853,0.59,3.6445236897029337e-31
DSCC1,2.043908410422015e-35,0.33943623543212054,0.313,0.151,3.6964083602482143e-31
KLK6,2.045965522104756e-35,0.86352951901294706,0.152,0.048,3.700128646726451e-31
CAPZB,2.1096340114657432e-35,0.3313121612910071,0.855,0.642,3.8152731097357966e-31
C3orf33,2.265444352586137e-35,0.2264608763877911,0.27,0.119,4.097056111652029e-31
SLAIN2,2.3009349356062846e-35,0.2535861757916388,0.681,0.428,4.161240831043966e-31
PSMC5,2.5193659483150384e-35,0.25155533346616055,0.874,0.64,4.556273317527747e-31
UBXN8,2.595216765531618e-35,0.34279178362286267,0.3,0.141,4.693449520463931e-31
VPS13C,2.698083178813795e-35,0.24325272543558296,0.988,0.865,4.879483428884748e-31
VAPB,2.856347858822156e-35,0.23543686835485977,0.701,0.442,5.16570510267987e-31
SCARB2,2.902918050420821e-35,0.3027462389006002,0.722,0.471,5.249927294186055e-31
UCHL3,2.954842588012411e-35,0.31750874359222026,0.718,0.468,5.343832820420445e-31
SMARCA5,2.9986696184769824e-35,0.2596330412213895,0.926,0.714,5.423094005015623e-31
SRR,3.028691285178784e-35,0.2241453330790466,0.328,0.158,5.477388189245831e-31
URI1,3.069925110823842e-35,0.25384787231577177,0.951,0.766,5.551959562924918e-31
CMC4,3.2312204913045525e-35,0.23243106623498877,0.624,0.375,5.843662258524283e-31
FBXL18,3.286834985785915e-35,0.3251255135808937,0.294,0.137,5.944241071793828e-31
ZNF583,3.366833392333655e-35,0.33399155023799976,0.217,0.087,6.088918190035416e-31
SALL4,3.4796902793691624e-35,0.39194421809532765,0.173,0.059,6.29301987023913e-31
C11orf68,3.524265085228395e-35,0.23168754913002476,0.648,0.395,6.373633406635553e-31
TDG,3.6779618777493847e-35,0.2133453101439966,0.394,0.201,6.651594055909763e-31
PPIAL4G,3.684684646071258e-35,0.300053532952512,0.201,0.076,6.66375218241987e-31
TRIM33,3.99583561235161e-35,0.2466365308379026,0.771,0.498,7.226468704937887e-31
YAF2,4.04914125924486e-35,0.21021112116457275,0.711,0.441,7.322871967344329e-31
E2F1,4.0921133493740497e-35,0.25158592710163274,0.458,0.253,7.400586992342969e-31
HIST1H1E,4.126361585562697e-35,0.22433668257408368,0.92,0.71,7.462524927490138e-31
UFM1,4.407151797747451e-35,0.2481481298685375,0.751,0.491,7.970334026226265e-31
FRG1,4.5726302937376694e-35,0.23546676629998675,0.443,0.24,8.269601886224574e-31
NDE1,4.6840088367230265e-35,0.24814991669526343,0.866,0.596,8.471029981213594e-31
ZNF558,4.7182548168418315e-35,0.23788342716128308,0.402,0.211,8.532963836258453e-31
STK25,4.846895271092793e-35,0.24394295576685188,0.857,0.603,8.765610097771317e-31
NOX1,5.146177098513732e-35,0.37514612153330157,0.844,0.625,9.306861282662084e-31
CNTN3,5.367815939992859e-35,0.25317517178515203,0.48,0.27,9.707695127477086e-31
LCA5,5.449636589936704e-35,0.459875902944594,0.179,0.062,9.855667772900528e-31
ADNP2,5.684539650644242e-35,0.22797549527978866,0.632,0.38,1.0280489958190112e-30
GMEB2,6.179157591275794e-35,0.41940248039326633,0.275,0.124,1.1175006503822273e-30
OVGP1,6.219299563092631e-35,0.39976849059341024,0.22,0.089,1.1247603259853025e-30
H2AFX,6.249227582753913e-35,0.22426775112171687,0.771,0.516,1.1301728083410452e-30
PTPRA,6.305284820966111e-35,0.24376819687828133,0.663,0.408,1.1403107598717212e-30
CHMP4C,6.751725269123206e-35,0.27883795026068287,0.807,0.543,1.2210495149209318e-30
NFXL1,6.881137084168856e-35,0.20707540782913963,0.853,0.581,1.2444536416719376e-30
CHD3,6.937634829260643e-35,0.2585681269950751,0.901,0.66,1.2546712588717871e-30
RETREG3,7.190573219943319e-35,0.26098370448217134,0.743,0.483,1.3004151668267492e-30
SYT17,7.228465091355861e-35,0.4390259433049626,0.243,0.104,1.3072679117717074e-30
CAPZA1,7.251122084930384e-35,0.20349869458226655,0.281,0.129,1.31136542905966e-30
NISCH,7.251454282237127e-35,0.23468716271896875,0.826,0.561,1.3114255069425843e-30
SGO1,7.347030913766419e-35,0.575477513550259,0.226,0.094,1.3287105407546568e-30
ZNF669,8.0097211777233e-35,0.36468048575048995,0.203,0.077,1.4485580749912588e-30
ADAM10,8.024517087033805e-35,0.20881884177815419,0.723,0.46,1.4512339151900636e-30
FAM71E1,8.212257035560979e-35,0.33624768054952003,0.197,0.074,1.4851866848812032e-30
KCNE3,8.308228644188315e-35,0.217410362968577,0.852,0.578,1.5025431503014568e-30
EXOC6,8.846638041287387e-35,0.2299915927856997,0.617,0.371,1.599914489766824e-30
UPF2,9.008030470385988e-35,0.22544935705832803,0.638,0.384,1.629102310569306e-30
PLCH2,9.023427465606212e-35,0.5904717870628278,0.163,0.054,1.6318868571548836e-30
EIF3B,9.101433093938539e-35,0.24571305542952904,0.983,0.868,1.6459941750387848e-30
KLHL29,9.173388583242951e-35,0.253616255497648,0.301,0.141,1.6590073252794876e-30
GATD1,9.330379789045411e-35,0.22274735886292052,0.918,0.698,1.6873991848488625e-30
