gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
CDC20,6.831126322664161e-17,2.1178935751964447,0.435,0.072,1.2354091954538136e-12
SMARCC1,8.099547449902927e-17,0.8497796911814767,0.918,0.733,1.4648031563149444e-12
H2AFX,8.971511263277598e-17,1.5725681753653231,0.647,0.256,1.6224978119637535e-12
CCND1,9.466932708486077e-17,1.081296766848896,0.876,0.606,1.712094780329707e-12
MCM2,1.1482608761399378e-16,1.7970311696038312,0.555,0.167,2.0766297944990774e-12
EZH2,1.3288707689854948e-16,1.4563913331934826,0.66,0.272,2.4032627857102675e-12
TUFM,1.6397270030880186e-16,0.7610171136523576,0.946,0.75,2.9654462850846814e-12
AHCY,1.7660615121945274e-16,1.3622708484753945,0.664,0.3,3.1939222448038027e-12
CENPE,1.7683106592901939e-16,1.92515319384658,0.433,0.078,3.1979898273263155e-12
SSRP1,1.9966035203426311e-16,0.9459513635549054,0.843,0.589,3.6108574665396484e-12
ZNRF3,2.6360090024032127e-16,1.7317040418294514,0.555,0.178,4.7672222808462105e-12
FASN,3.291473820361802e-16,1.2211482579736304,0.755,0.439,5.952630404124319e-12
MCCC2,3.9973394477023846e-16,1.1238141105839075,0.746,0.344,7.229188391169763e-12
CHD7,4.215228062527492e-16,1.3368186129597046,0.66,0.261,7.62323995108097e-12
PSMG3,4.555204607199284e-16,1.1271839921787867,0.784,0.428,8.238087532119906e-12
RGMB,5.181714663875516e-16,1.721638276548585,0.658,0.294,9.371130969618872e-12
EIF4EBP1,5.318165912071895e-16,1.5418096747572472,0.592,0.211,9.617903051982021e-12
GGCT,6.13651811080853e-16,1.4012003010422986,0.645,0.261,1.1097893003397227e-11
CD46,6.166219830173239e-16,0.8922338542982831,0.885,0.611,1.1151608562868303e-11
CENPF,6.335423968177372e-16,1.8236696390812672,0.46,0.094,1.1457614246448777e-11
SOX4,6.715960996875729e-16,0.8653166322722489,0.897,0.589,1.2145815462849756e-11
SNRPB,6.904829540333048e-16,0.9371419506529046,0.849,0.594,1.2487384223692316e-11
CDK4,8.916265813055274e-16,1.0999534271532694,0.746,0.361,1.6125066722910462e-11
YBX3,8.942508337032787e-16,0.7056245383608564,0.944,0.783,1.6172526327523794e-11
ARID5B,9.258483121718675e-16,0.9985156655392442,0.812,0.489,1.6743966725628224e-11
SEMA3F,1.0219696671295087e-15,1.7068136101246607,0.553,0.189,1.8482321430037164e-11
HSPD1,1.140824303275599e-15,1.3505345405564455,0.637,0.267,2.063180752473921e-11
C19orf48,1.2552701066719463e-15,1.5906278784752135,0.581,0.211,2.270155987916215e-11
GLCE,1.2635925242826677e-15,1.0394104655461132,0.821,0.522,2.2852070801652045e-11
SOX9,1.288391900450146e-15,1.3565836731417564,0.61,0.206,2.330056751964089e-11
CERS6,1.295558025812471e-15,1.0136209920117225,0.798,0.439,2.3430166896818537e-11
CDCA2,1.3725996106336893e-15,2.3675635779386743,0.398,0.067,2.4823463958310272e-11
TOP1MT,1.4009432125137306e-15,1.7715182139406547,0.499,0.133,2.533605799831082e-11
CADPS,1.445654925259933e-15,1.9080284234961318,0.489,0.128,2.614466932332589e-11
SHMT1,1.451024080906894e-15,1.2290906698647954,0.629,0.222,2.6241770503201178e-11
HSPE1,1.6408460910553024e-15,1.0134486720676554,0.819,0.467,2.9674701556735145e-11
KANK1,2.026683136967864e-15,1.2751651314337424,0.701,0.317,3.6652564532063816e-11
NME1,2.1834376410156323e-15,1.3441673264684044,0.598,0.228,3.948746973776771e-11
HSDL2,2.280630843506444e-15,1.0896392146864406,0.779,0.422,4.124520880481404e-11
ATIC,2.3027182294679713e-15,1.1553182205787844,0.709,0.339,4.164465917992826e-11
CENPW,2.36606913413224e-15,2.005995500426109,0.452,0.1,4.2790360290781556e-11
TOP2A,2.6022163260090247e-15,1.8247604050837323,0.515,0.161,4.706108225587321e-11
CDH3,2.6886402392460712e-15,3.0610004504216617,0.353,0.044,4.8624058726765196e-11
HSP90AB1,2.83577514796203e-15,0.9391094710625272,0.845,0.567,5.1284993550893315e-11
NFIX,2.864453950079078e-15,1.0982557865116802,0.779,0.433,5.180364968718013e-11
NUSAP1,2.9617251709697875e-15,1.8162214151158464,0.495,0.144,5.356279971698861e-11
UBE2T,2.9738966241010716e-15,2.2546988914066137,0.41,0.072,5.378292044686788e-11
LBR,3.09146993054344e-15,1.0373579006809064,0.761,0.406,5.590923369387811e-11
CCNB2,3.717516852644653e-15,2.615976844301901,0.361,0.044,6.723129228007855e-11
NTMT1,3.7898213076506976e-15,1.232575476250436,0.699,0.322,6.853891834886287e-11
JPH1,3.856324926664967e-15,2.1709022434921197,0.421,0.083,6.974163629873593e-11
NDUFA4,4.026626642749028e-15,0.8700965513263894,0.87,0.622,7.282154283411617e-11
IDH2,4.121945453301067e-15,1.082900980550619,0.763,0.417,7.45453835229498e-11
ILF3,4.352135629801989e-15,0.8265179894294303,0.86,0.6,7.870837286496897e-11
VWA2,4.7655118971466626e-15,1.5207570509789885,0.548,0.178,8.618428265989739e-11
SNORC,4.943100668813648e-15,1.135960330146255,0.697,0.322,8.939597559549483e-11
KDM1A,5.154442736714557e-15,1.110933306963415,0.74,0.372,9.321809689348277e-11
NCL,5.4655812811233984e-15,1.0396240953361706,0.798,0.528,9.884503746911666e-11
CDH24,5.866313438748886e-15,2.000373169125477,0.431,0.089,1.0609227853977361e-10
MYBL2,5.886260139557865e-15,1.7440030902693937,0.511,0.156,1.0645301462390399e-10
SNRPF,7.07994583728565e-15,1.2828427956456696,0.602,0.228,1.2804082046731097e-10
HIST1H1D,7.713192829838232e-15,1.3155032778249867,0.753,0.394,1.3949309232762443e-10
DLGAP5,7.777983718581516e-15,2.598012390216232,0.355,0.044,1.4066483555054672e-10
GALNT8,8.037132674906077e-15,1.6788601645579226,0.511,0.156,1.453515444256764e-10
FBL,8.081503524859591e-15,1.2820481071972076,0.654,0.272,1.461539912470857e-10
TMEM63A,8.460829610614933e-15,0.8181031491288826,0.928,0.672,1.5301410350797107e-10
APRT,8.533473852778693e-15,0.7765612961383016,0.897,0.611,1.5432787462750268e-10
TAF1D,1.0100352329855396e-14,1.172671286572985,0.711,0.406,1.8266487188543483e-10
NDUFAF8,1.0592234352714342e-14,1.0365329077929655,0.794,0.483,1.9156055826883888e-10
PLK1,1.3167621805384258e-14,2.0082652738492426,0.485,0.15,2.381364403503743e-10
KIF23,1.4988610545223886e-14,1.5818498168440218,0.474,0.122,2.7106902171037397e-10
ASRGL1,1.6083163661082444e-14,1.5491179686295888,0.544,0.178,2.90864014810676e-10
NENF,1.6164565895388025e-14,0.9645565958193585,0.769,0.433,2.9233617421809245e-10
KIAA1324,1.7032625576157208e-14,1.2706804454375393,0.724,0.367,3.080350335448031e-10
BRIX1,1.7188475009315053e-14,1.356690531211648,0.573,0.194,3.1085357054346273e-10
TOMM5,1.8807882745798936e-14,1.1019422494779352,0.734,0.372,3.4014055945777374e-10
HOXB6,1.9114283702814822e-14,0.7100454490566568,0.938,0.761,3.4568182076540607e-10
FAT1,1.933544334238688e-14,0.8168181309095837,0.911,0.739,3.4968149284706674e-10
TP53,2.0259686965225484e-14,1.1084672411887437,0.724,0.378,3.6639643876610286e-10
PRDX5,2.1382661788511897e-14,1.0115145178209732,0.786,0.456,3.867054384452377e-10
TRIP13,2.2257224867558047e-14,2.3353302231538864,0.384,0.072,4.025219117297873e-10
RPF2,2.3292880413985592e-14,1.437234591001276,0.53,0.167,4.212517422869294e-10
SORD,2.6950239531560336e-14,1.3723724080221402,0.586,0.217,4.873950819282686e-10
