p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,delta_pct
2.89995131354041e-73,0.34895068364324855,0.715,0.674,5.244561950537831e-69,0,ZFP36L2,0.040999999999999925
9.337059535043435e-73,0.8622854565299904,0.313,0.225,1.6886072169126051e-68,0,BEST2,0.088
9.92538267478411e-72,0.38847121521704087,0.619,0.554,1.7950054567347063e-67,0,NFIX,0.06499999999999995
4.278189006705401e-71,0.901396085905275,0.309,0.226,7.737104818626718e-67,0,ANXA13,0.08299999999999999
1.1198030708849506e-70,0.3106488925958999,0.764,0.708,2.0251638536954332e-66,0,SPG7,0.05600000000000005
1.786493251128737e-70,0.9831281174684483,0.315,0.233,3.230873044666321e-66,0,PLEKHB1,0.08199999999999999
5.341002300121043e-69,0.23735858109519237,0.861,0.804,9.659202659768907e-65,0,CCNL2,0.05699999999999994
8.360260810332407e-69,0.3126893071056527,0.746,0.673,1.5119531675486158e-64,0,KLF5,0.07299999999999995
1.6880343551142386e-68,0.46666353853955433,0.61,0.564,3.0528101312241e-64,0,ARHGEF10L,0.04600000000000004
4.833756817106546e-67,0.460125542909921,0.589,0.546,8.741849203737188e-63,0,TMEM168,0.04299999999999993
2.427331814718869e-66,0.739439663685416,0.433,0.369,4.389829586919075e-62,0,REP15,0.064
3.341225574451671e-66,0.5865415460353797,0.456,0.372,6.042606451395847e-62,0,MUC5B,0.08400000000000002
4.5077243318758223e-66,0.6408142422129001,0.442,0.364,8.152219454197425e-62,0,UTY,0.07800000000000001
4.6080610671570986e-66,0.4703686680169752,0.598,0.559,8.333678439953613e-62,0,FRYL,0.038999999999999924
1.7956041668832646e-65,0.8519671947520641,0.364,0.288,3.247350135808384e-61,0,PTPRN2,0.07600000000000001
1.6677776963616275e-64,0.33133240307423195,0.76,0.695,3.0161759638700036e-60,0,TRPM4,0.06500000000000006
2.22159158855176e-64,0.4149922519797833,0.609,0.526,4.0177483878958583e-60,0,ALDH1B1,0.08299999999999996
4.000897791461068e-62,0.4067087506214757,0.653,0.602,7.235623655857342e-58,0,CANT1,0.051000000000000045
6.472404810968671e-62,0.2228606894018026,0.839,0.782,1.1705344100636841e-57,0,RSRP1,0.05699999999999994
9.052637621606527e-62,0.3821539696760259,0.654,0.615,1.6371695138675403e-57,0,SPPL2B,0.039000000000000035
6.2307570323978e-61,0.2635526462398756,0.842,0.756,1.126832409309142e-56,0,CD2AP,0.08599999999999997
2.0688547456695958e-60,0.33961122928560683,0.697,0.642,3.7415238075434643e-56,0,PILRB,0.05499999999999994
4.201665623072345e-60,0.7498353434043458,0.346,0.273,7.598712279326336e-56,0,RASD1,0.07299999999999995
1.86280920589171e-59,1.0042328025428022,0.205,0.134,3.3688904488551574e-55,0,CACNA2D2,0.07099999999999998
1.7936642064459037e-58,0.24205403628624644,0.875,0.773,3.243841717357417e-54,0,CTNND1,0.10199999999999998
4.271174048313167e-58,0.38872504724763934,0.657,0.592,7.724418266374363e-54,0,MECOM,0.06500000000000006
1.5105318258561782e-57,0.2837510006285866,0.764,0.683,2.7317968070608983e-53,0,GMDS,0.08099999999999996
1.3481630266936047e-56,0.2842819169742594,0.708,0.674,2.438152833775384e-52,0,SRSF5,0.03399999999999992
1.7043796228492188e-56,0.3407853987183169,0.718,0.663,3.082370547922812e-52,0,CLINT1,0.05499999999999994
2.785766787642974e-56,0.30153207139709215,0.675,0.621,5.038059235452319e-52,0,EEF2,0.05400000000000005
3.8579449550468715e-56,0.398245013431312,0.642,0.602,6.977093451202267e-52,0,LUC7L2,0.040000000000000036
4.718227810377724e-56,0.37065878084941195,0.683,0.636,8.532914995068114e-52,0,BSDC1,0.04700000000000004
5.528667701034132e-56,0.6111946615148764,0.53,0.437,9.998595537320227e-52,0,SPINK4,0.09300000000000003
1.1777417157691543e-55,0.6242350445066236,0.455,0.404,2.1299458929685157e-51,0,HSF4,0.05099999999999999
1.115595862606599e-54,0.4891726326318654,0.524,0.484,2.017555117524034e-50,0,DENND11,0.040000000000000036
2.298723137768563e-54,0.5411162881882854,0.525,0.483,4.1572407946544463e-50,0,MAP7,0.04200000000000004
4.6143226912401147e-54,0.6459246119261486,0.396,0.331,8.345002587107747e-50,0,FAM174B,0.065
1.0619365702087495e-53,0.6041393223951419,0.427,0.364,1.9205122872225232e-49,0,CDRT4,0.063
1.0698575702468031e-53,0.6391650505734923,0.422,0.361,1.9348374157913433e-49,0,VWA2,0.061
2.159500136803047e-53,0.2957975669981203,0.788,0.706,3.9054559974083105e-49,0,PRR15L,0.08200000000000007
3.6916788259119467e-53,0.2904974266559268,0.792,0.721,6.6764011566617555e-49,0,NDUFV1,0.07100000000000006
1.353646431421268e-52,0.6886335258462655,0.433,0.383,2.4480695712253632e-48,0,ARHGEF38,0.04999999999999999
2.6655540251668415e-52,0.48996432215287444,0.583,0.511,4.820654454514233e-48,0,HOXA9,0.07199999999999995
2.879030428785805e-52,0.532020339235826,0.551,0.514,5.2067265304591283e-48,0,GUCY2C,0.03700000000000003
2.741007728975037e-51,0.44877365009139336,0.574,0.534,4.957112477851354e-47,0,PAWR,0.039999999999999925
6.309783516905853e-51,0.34882852460108293,0.691,0.639,1.1411243490324236e-46,0,KLHDC2,0.051999999999999935
1.3183191959706193e-49,0.580701816340585,0.521,0.48,2.384180265912865e-45,0,HYI,0.041000000000000036
2.6589795977504145e-49,0.2735316224062432,0.748,0.683,4.808764602531625e-45,0,PDHA1,0.06499999999999995
3.466955653135315e-49,0.4068660979478498,0.589,0.561,6.269989298695217e-45,0,SYTL2,0.027999999999999914
5.772159621220832e-49,0.3069823478599931,0.635,0.607,1.0438950674977874e-44,0,OGT,0.028000000000000025
8.96178178488929e-49,0.3866629319940851,0.682,0.641,1.6207382357972281e-44,0,CLN3,0.041000000000000036
2.0949234700515922e-48,0.27599321887999495,0.766,0.7,3.7886690955883043e-44,0,RBM47,0.06600000000000006
5.32951268767868e-48,0.3539527520889787,0.66,0.615,9.638423695666892e-44,0,NEK6,0.04500000000000004
5.798316110464336e-48,0.3713632837674319,0.645,0.613,1.048625468577475e-43,0,AKAP9,0.03200000000000003
1.1887830906019016e-47,0.24617373135326992,0.75,0.705,2.149914219353539e-43,0,OGA,0.04500000000000004
1.195411797726278e-47,0.4563235646347832,0.547,0.509,2.1619022361879736e-43,0,PLEKHG3,0.038000000000000034
1.5007052091456128e-47,0.32433134894861926,0.669,0.63,2.714025370739841e-43,0,SAFB,0.039000000000000035
3.612980740427117e-47,0.25950800666708895,0.706,0.674,6.534075669062441e-43,0,GNAQ,0.03199999999999992
4.0219689753373984e-47,0.49615896487560135,0.411,0.344,7.273730891897685e-43,0,PTGDR,0.067
9.975589734370252e-47,0.32218466112646915,0.625,0.588,1.8040854034608602e-42,0,PPFIBP1,0.03700000000000003
1.1836112660122044e-45,0.31337663975789964,0.693,0.651,2.1405609745830716e-41,0,AMN,0.041999999999999926
1.4113526566922778e-45,0.10716767466573351,0.998,0.951,2.5524312796279844e-41,0,PIGR,0.04700000000000004
1.441370684135208e-45,0.3022430353456955,0.622,0.585,2.6067188822585237e-41,0,MLLT6,0.03700000000000003
1.703009812317724e-45,0.3993057110715279,0.576,0.531,3.079893245576604e-41,0,NXPE4,0.04499999999999993
6.348345826698746e-45,0.42360521251419947,0.434,0.376,1.1480983427584682e-40,0,KCNMA1,0.057999999999999996
6.793824922429682e-45,0.2524454793662212,0.734,0.655,1.228663237221408e-40,0,ITGA6,0.07899999999999996
8.478431042926802e-45,0.3128628634101793,0.687,0.65,1.5333242541133122e-40,0,MINK1,0.03700000000000003
1.1942808255632594e-44,0.28903364344007176,0.671,0.604,2.1598568730311547e-40,0,PPP1R1B,0.06700000000000006
2.381191135039631e-44,0.24728686922256715,0.708,0.636,4.306384167719172e-40,0,CD44,0.07199999999999995
4.9742791352890345e-44,0.41593513241606417,0.508,0.453,8.995983816170219e-40,0,EPHB4,0.05499999999999999
9.292817179311687e-44,0.24279982604395522,0.701,0.668,1.6806059868785187e-39,0,ARGLU1,0.03299999999999992
2.6686714461655987e-43,0.33907081387019655,0.705,0.655,4.826292310390485e-39,0,ATP5IF1,0.04999999999999993
2.979871201686009e-43,0.3629033138313962,0.653,0.623,5.3890970682491473e-39,0,ZFC3H1,0.030000000000000027
3.236519820054248e-43,0.48830102652132634,0.554,0.519,5.853246094568107e-39,0,ABO,0.03500000000000003
5.972481298613009e-43,0.32074178573748413,0.658,0.624,1.0801232428541626e-38,0,DOCK1,0.03400000000000003
1.646932986836522e-42,0.363663520413432,0.568,0.524,2.97847830669385e-38,0,PDZD8,0.04399999999999993
1.671846400517771e-42,0.31170126575287516,0.513,0.462,3.023534215336389e-38,0,SOD3,0.05099999999999999
8.87385167561399e-42,0.27152176789590166,0.718,0.682,1.60483607553479e-37,0,SLTM,0.03599999999999992
1.1953407037232836e-41,0.7221958535333044,0.352,0.295,2.1617736626835583e-37,0,ANKRD18A,0.056999999999999995
1.326666601472473e-41,0.37234602203918543,0.561,0.534,2.399276548762967e-37,0,MCF2L,0.027000000000000024
4.888659871971644e-41,0.28877822476414106,0.646,0.625,8.841141378460718e-37,0,VPS13C,0.02100000000000002
1.3436856649056971e-40,0.38495281524527925,0.563,0.525,2.430055524981953e-36,0,KIF13A,0.03799999999999992
2.3309293802913493e-40,0.45931085589186665,0.492,0.457,4.215485784256905e-36,0,PRUNE2,0.034999999999999976
2.5601435588724884e-40,0.2699223825426884,0.731,0.681,4.6300196262208954e-36,0,NDUFB5,0.04999999999999993
2.898485447810163e-40,0.4809440345596764,0.532,0.506,5.24191093236468e-36,0,CREB3L1,0.026000000000000023
3.822009284492179e-40,0.49495298294283085,0.413,0.351,6.912103791004106e-36,0,KDM5D,0.062
5.36480585427127e-40,0.5445458741934548,0.492,0.457,9.702251387449591e-36,0,D2HGDH,0.034999999999999976
6.176524374440308e-40,0.2569076580439891,0.702,0.669,1.1170244331175297e-35,0,RBM33,0.03299999999999992
1.4246770242081325e-39,0.19065374282310188,0.765,0.707,2.5765283982804075e-35,0,HSD11B2,0.05800000000000005
1.7164891480337885e-39,0.3139732908382249,0.605,0.574,3.1042706242191067e-35,0,NUMA1,0.031000000000000028
2.6392826553307376e-39,0.6790796926317423,0.411,0.367,4.7731426821656387e-35,0,ENTPD8,0.043999999999999984
3.41923707379483e-39,0.2873916819721416,0.653,0.606,6.18369024795795e-35,0,PMPCB,0.04700000000000004
4.830618662567284e-39,0.34923939163927287,0.604,0.562,8.736173851252934e-35,0,BANF1,0.041999999999999926
4.944238571772436e-39,0.38816663468150114,0.569,0.537,8.94165545705045e-35,0,CALCOCO1,0.03199999999999992
7.25985812225355e-39,0.24156686459020182,0.701,0.664,1.3129453414095546e-34,0,PNN,0.03699999999999992
7.901955238793982e-39,0.5774039311842735,0.41,0.351,1.4290686049358917e-34,0,CCL24,0.059
1.1985283159758046e-38,0.43914096490917554,0.515,0.478,2.1675384594422427e-34,0,CFTR,0.03700000000000003
3.7732497814357616e-38,0.4307757489390376,0.531,0.499,6.823922229726575e-34,0,TCERG1,0.03200000000000003
6.915324353857375e-38,0.4220628078089509,0.587,0.563,1.2506364093951063e-33,0,GOLGA2,0.02400000000000002
4.6739585257502035e-37,0.4557000422434629,0.438,0.392,8.452853993819243e-33,0,PKDCC,0.045999999999999985
4.683612717542298e-37,0.573486324019608,0.45,0.415,8.470313599675246e-33,0,C3orf52,0.03500000000000003
8.329745373128146e-37,0.5407414573101934,0.427,0.386,1.5064344507302252e-32,0,NOL3,0.04099999999999998
8.813108514782248e-37,0.13493016646590128,0.765,0.717,1.5938506748983695e-32,0,XBP1,0.04800000000000004
2.92897639827665e-36,0.3802952097187213,0.591,0.573,5.297053816283322e-32,0,ARHGEF2,0.018000000000000016
3.9069526816342594e-36,0.3993294294040436,0.521,0.491,7.065723924735558e-32,0,HOXB5,0.030000000000000027
1.2551146217760454e-35,0.3612513325020361,0.584,0.553,2.2698747934819782e-31,0,SATB2,0.030999999999999917
4.3742908905791313e-35,0.34220798748753367,0.596,0.571,7.91090507561236e-31,0,MBTPS1,0.025000000000000022
4.5371870253331274e-35,0.26390518399460516,0.688,0.633,8.20550273531496e-31,0,ACSL5,0.05499999999999994
9.566389444543759e-35,0.69996052830101,0.311,0.258,1.7300815310457387e-30,0,HES2,0.05299999999999999
1.0146745417033644e-34,0.8535730139904989,0.247,0.193,1.8350389086705345e-30,0,RAB26,0.05399999999999999
1.5106734773230573e-34,0.4532761066767319,0.47,0.428,2.732052983738749e-30,0,SAMD5,0.04199999999999998
1.8734454336006907e-34,0.40944910310573146,0.526,0.505,3.3881260666668494e-30,0,MAPKAPK5,0.02100000000000002
3.71918046981778e-34,0.3768249715413673,0.573,0.547,6.726137879665455e-30,0,TSPAN13,0.025999999999999912
4.343984169390172e-34,0.2988073891562004,0.643,0.613,7.856095370342125e-30,0,SH3RF2,0.030000000000000027
7.198423664641689e-34,0.4178991672822999,0.57,0.546,1.3018349197504496e-29,0,NR3C2,0.02399999999999991
