gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
GPX4,1.833306858580305e-4,0.2784087389569696,0.959,0.85,1
NECAB3,1.8537460405246503e-4,0.35347122430592637,0.515,0.294,1
TPST2,1.8861896404431464e-4,0.5470075982796023,0.392,0.206,1
MCFD2,2.0243000472102514e-4,0.7579098674784557,0.28,0.128,1
APOO,2.0931079957973238e-4,0.7875885314952269,0.173,0.056,1
EXTL2,2.1479394134006833e-4,0.5911154617227479,0.252,0.106,1
MANF,2.3073518475476098e-4,0.36484669091831445,0.759,0.544,1
PPIB,2.4208681231489994e-4,0.3135107620298898,0.878,0.656,1
ANGEL1,2.562312420357067e-4,0.3676957624774161,0.596,0.356,1
CTSH,2.603328697175404e-4,0.34246197176108994,0.563,0.35,1
PRLR,2.641006639181229e-4,0.5638363765251755,0.332,0.167,1
PLBD1,2.7000945757781557e-4,0.4535473553054379,0.559,0.339,1
ADAMTSL2,2.7846291844337663e-4,1.175212381002238,0.142,0.039,1
CXCL8,2.787074057418317e-4,1.4685331220863103,0.175,0.061,1
AGA,2.93253958004841e-4,0.3534029759636015,0.414,0.222,1
PDIA4,3.100042662649773e-4,0.5848785333225518,0.458,0.272,1
PTPRO,3.2788327536847466e-4,0.8853827224172619,0.221,0.094,1
COL9A2,3.5899396471155277e-4,0.5229608870426137,0.344,0.178,1
KANSL2,3.590770087487376e-4,0.5719353482209268,0.402,0.222,1
TOR3A,3.73977261799772e-4,0.5090415955455364,0.456,0.267,1
FABP5,3.7844473393919617e-4,0.6068286552013673,0.303,0.156,1
ERO1A,3.8558711457184014e-4,0.40995240450657666,0.796,0.622,1
P4HA2,4.0903126821568146e-4,0.40509306892794816,0.528,0.311,1
COL4A5,4.196993172242953e-4,0.30710940962316635,0.439,0.244,1
ERLIN2,4.862810614002649e-4,0.355297145937158,0.474,0.267,1
MYDGF,4.99381617497619e-4,0.3759431453185871,0.695,0.494,1
FGFR4,5.310366628161943e-4,0.5627745507841488,0.332,0.178,1
PLA2R1,5.760173546496613e-4,0.32326012255561754,0.394,0.217,1
PDZD11,5.915573679587329e-4,0.3867545713037064,0.47,0.272,1
SVBP,6.24683425943409e-4,0.3223465089649762,0.334,0.172,1
PGAM5,6.263641192120726e-4,0.472889056413057,0.445,0.256,1
PLOD3,6.543245203844664e-4,0.326818144414573,0.755,0.561,1
APOL1,7.028855316286235e-4,0.5420994507704813,0.631,0.461,1
QSOX2,7.133991680279362e-4,0.42519262822095083,0.27,0.128,1
COLGALT1,7.840515175707536e-4,0.2823848863441743,0.746,0.533,1
PET117,7.908583952283433e-4,0.3719023771997777,0.52,0.322,1
PTPRD,8.653728212997922e-4,0.36519467589914756,0.499,0.306,1
FPGS,8.673577831472e-4,0.45614051744214335,0.493,0.294,1
SDF2L1,8.827021195376164e-4,0.4607572798558348,0.596,0.4,1
LY6G5B,9.93690279261291e-4,0.38453006883626417,0.522,0.322,1
XYLT2,0.0010138294851765632,0.40213567158721464,0.229,0.106,1
FAM3C,0.001031381371903072,0.2709841345650701,0.641,0.417,1
MSRB2,0.0010664273482305676,0.33909811753902597,0.711,0.489,1
TMX1,0.0011428961165841484,0.34221279306521946,0.377,0.211,1
SERPINH1,0.001148586143406184,0.3734644158572386,0.711,0.517,1
AGT,0.00115715228956038,0.5554988300354688,0.336,0.194,1
TWSG1,0.001241841556365396,0.43562175827172345,0.449,0.267,1
ERAP1,0.0013579883407188484,0.4126272180273508,0.608,0.417,1
PIGT,0.0013627956840990105,0.34783499492097064,0.561,0.356,1
PRSS22,0.0014072785391047045,0.47165000654210765,0.289,0.15,1
CXCL16,0.0014438238943888283,0.4886840795938942,0.542,0.367,1
INHBA,0.0015000544419965388,0.5493704927971108,0.208,0.094,1
NMI,0.0016361891475237048,0.34168644673355264,0.532,0.333,1
PLXNB1,0.0016519454274413312,0.2614506296867876,0.639,0.422,1
IFI27L2,0.001731204615961628,0.3982723418485157,0.361,0.211,1
GNS,0.0018365777625161098,0.21922744317317472,0.616,0.394,1
LCN12,0.0018507621304436222,0.6129931406367195,0.184,0.078,1
ANXA1,0.0018649278612535999,0.6133207665422461,0.497,0.328,1
STMP1,0.0018681804645001297,0.39493503805568575,0.425,0.256,1
LRP1,0.0018812640734482688,0.302298633851166,0.812,0.628,1
IFI27L1,0.0019236027533048293,0.2990994607781363,0.375,0.206,1
GFOD2,0.0019938312884818874,0.20498279089413962,0.515,0.311,1
HAPLN3,0.002033725322162719,0.37792198902983953,0.338,0.194,1
BTC,0.002080433529426185,0.21045685206978515,0.245,0.117,1
SELENON,0.002224356723130334,0.42411715683241313,0.497,0.317,1
DNASE2,0.002247869932076501,0.21959479641679658,0.429,0.25,1
CRELD1,0.0022893182818412364,0.4765095803866789,0.59,0.4,1
SUMF1,0.0024054613822344453,0.30686730325926703,0.546,0.344,1
GUSB,0.002742983155480233,0.39097584398854557,0.542,0.344,1
SDCBP,0.0027598878579001,0.3181204451201187,0.435,0.272,1
CYB5D2,0.0027705110496976455,0.4553813591815983,0.204,0.094,1
POGLUT1,0.0028109713349582137,0.301060690704678,0.412,0.25,1
GLB1L2,0.0028772896596758867,0.40557274391651976,0.186,0.083,1
TRABD2A,0.0028812428531882492,0.36169546188934953,0.472,0.294,1
CIAO2A,0.003076822068422226,0.3639098414836053,0.643,0.45,1
